City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Sioux Lookout,CA,2022-10-01 17:12:10,50.1001,-91.917,51.87,71,75,6.91
68,Sharjah,AE,2022-10-01 17:12:10,25.3573,55.4033,89.89,62,0,5.75
69,Misratah,LY,2022-10-01 17:12:11,32.3754,15.0925,79.93,87,21,20.45
70,Ponta Do Sol,PT,2022-10-01 17:10:52,32.6667,-17.1,75.83,67,81,2.62
71,Sumbe,AO,2022-10-01 17:12:11,-11.2061,13.8437,74.37,84,76,6.64
72,Scarborough,GB,2022-10-01 17:12:12,54.2797,-0.4044,57.92,74,5,5.01
73,Kapaa,US,2022-10-01 17:12:12,22.0752,-159.319,75.18,92,75,5.75
74,Tura,IN,2022-10-01 17:12:13,25.5198,90.2201,76.21,92,86,2.26
75,Poum,NC,2022-10-01 17:12:13,-20.2333,164.0167,72.57,66,0,11.21
76,Abonnema,NG,2022-10-01 17:12:13,4.7084,6.7931,79.18,78,90,9.8
77,Teya,RU,2022-10-01 17:12:14,60.3778,92.6267,26.56,97,91,2.84
78,Malakal,SS,2022-10-01 17:12:14,9.5334,31.6605,77.09,78,25,1.34
79,Totskoye,RU,2022-10-01 17:12:15,52.5248,52.7623,51.37,47,54,11.23
80,Carnarvon,AU,2022-10-01 17:11:08,-24.8667,113.6333,67.06,78,0,23.0
81,Zarinsk,RU,2022-10-01 17:12:15,53.7074,84.9493,30.22,92,97,3.49
82,Kruisfontein,ZA,2022-10-01 17:12:08,-34.0033,24.7314,57.31,76,55,4.23
83,Seleron,GR,2022-10-01 17:12:15,41.1333,25.0,72.64,68,66,1.88
84,Shelopugino,RU,2022-10-01 17:12:16,51.6514,117.5599,30.67,73,82,11.95
85,Sao Filipe,CV,2022-10-01 17:12:16,14.8961,-24.4956,79.32,78,17,9.6
86,Matara,LK,2022-10-01 17:12:17,5.9485,80.5353,78.1,88,100,14.12
87,Ziro,IN,2022-10-01 17:12:17,27.6333,93.8333,56.23,93,41,2.44
88,San Luis,AR,2022-10-01 17:12:18,-33.295,-66.3356,77.29,19,65,4.7
89,Tukrah,LY,2022-10-01 17:12:18,32.5341,20.5791,86.9,49,0,1.79
90,Bloomington,US,2022-10-01 17:10:17,44.8408,-93.2983,70.02,55,75,5.75
91,Malur,IN,2022-10-01 17:12:18,13.0075,77.9378,69.76,88,100,12.1
92,Guangshui,CN,2022-10-01 17:12:19,31.6199,113.9978,81.25,49,6,4.52
93,Harper,LR,2022-10-01 17:12:19,4.375,-7.7169,77.41,86,76,11.79
94,Amboasary,MG,2022-10-01 17:12:20,-25.0333,46.3833,72.43,72,0,10.38
95,Saldanha,ZA,2022-10-01 17:13:20,-33.0117,17.9442,62.65,77,98,20.04
96,Port Alfred,ZA,2022-10-01 17:08:33,-33.5906,26.891,59.18,90,82,6.38
97,Madang,PG,2022-10-01 17:13:21,-5.2246,145.7966,76.48,91,61,3.0
98,Tautira,PF,2022-10-01 17:13:21,-17.7333,-149.15,76.24,70,69,7.67
99,Victoria,HK,2022-10-01 17:13:22,22.2855,114.1577,83.32,85,60,10.0
100,Bluff,NZ,2022-10-01 17:13:22,-46.6,168.3333,40.15,86,35,6.42
101,Padang,ID,2022-10-01 17:13:23,-0.9492,100.3543,73.45,90,100,2.57
102,Clyde River,CA,2022-10-01 17:13:23,70.4692,-68.5914,32.23,74,100,14.97
103,Muli,MV,2022-10-01 17:13:25,2.9167,73.5667,81.99,77,100,17.96
104,Dingle,PH,2022-10-01 17:13:25,10.9995,122.6711,76.42,91,52,6.71
105,Tuktoyaktuk,CA,2022-10-01 17:13:26,69.4541,-133.0374,32.0,93,100,8.05
106,Rorvik,NO,2022-10-01 17:13:26,64.8621,11.2373,55.38,66,100,5.75
107,Palmas,BR,2022-10-01 17:13:26,-10.2128,-48.3603,96.67,24,0,11.5
108,Emerald,AU,2022-10-01 17:13:27,-23.5333,148.1667,63.61,72,44,4.36
109,Maple Creek,CA,2022-10-01 17:13:27,49.9168,-109.4848,63.01,55,96,4.61
110,Fort Nelson,CA,2022-10-01 17:13:27,58.8053,-122.7002,47.79,81,75,2.3
111,Souillac,MU,2022-10-01 17:13:28,-20.5167,57.5167,70.18,83,75,6.91
112,Zhanaozen,KZ,2022-10-01 17:13:28,43.3,52.8,68.07,19,30,10.29
113,Tasiilaq,GL,2022-10-01 17:13:28,65.6145,-37.6368,41.16,99,100,4.99
