City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Kristiinankaupunki,FI,62.2743,21.376,48.85,91,100,12.53,overcast clouds
80,Saryg-Sep,RU,51.5,95.6,16.65,75,78,2.48,broken clouds
81,Swan Hill,AU,-35.3378,143.5544,54.97,72,0,2.75,clear sky
82,San Ramon,US,37.7799,-121.978,80.29,57,0,12.66,clear sky
83,Yulara,AU,-25.2406,130.9889,61.27,84,97,8.41,overcast clouds
84,Pangnirtung,CA,66.1451,-65.7125,32.72,55,72,4.61,broken clouds
85,Banda Aceh,ID,5.5577,95.3222,78.48,82,99,9.37,overcast clouds
86,Portland,US,45.5234,-122.6762,86.56,39,0,18.41,clear sky
87,Saint-Paul,RE,-21.0096,55.2707,68.11,79,67,0.72,broken clouds
88,Klaksvik,FO,62.2266,-6.589,50.92,89,100,19.33,light rain
89,Ban Nahin,LA,18.2418,104.2122,73.45,99,100,2.37,overcast clouds
90,Dikson,RU,73.5069,80.5464,33.58,98,100,14.76,overcast clouds
91,Caravelas,BR,-17.7125,-39.2481,73.09,69,91,8.39,overcast clouds
92,Catuday,PH,16.2923,119.8062,78.1,83,35,10.16,scattered clouds
93,Lasa,IT,46.6166,10.7002,54.48,98,99,7.07,overcast clouds
94,Vangaindrano,MG,-23.35,47.6,69.26,80,91,5.28,overcast clouds
95,Vao,NC,-22.6667,167.4833,70.11,73,93,8.34,overcast clouds
96,Port Elizabeth,ZA,-33.918,25.5701,56.32,92,85,2.44,overcast clouds
97,Jumla,NP,29.2747,82.1838,55.29,93,91,0.11,overcast clouds
98,Yellowknife,CA,62.456,-114.3525,54.12,82,100,13.8,overcast clouds
99,Puerto Carreno,CO,6.189,-67.4859,87.78,66,40,8.05,scattered clouds
100,Campbellsville,US,37.3434,-85.3419,73.18,25,0,4.0,clear sky
101,Saskylakh,RU,71.9167,114.0833,28.98,97,100,9.04,light snow
102,Vaini,TO,-21.2,-175.2,77.16,78,75,9.22,broken clouds
103,Morehead,US,37.2711,-87.1764,77.86,36,0,8.05,clear sky
104,Kokoda,PG,-8.8785,147.7407,80.24,71,34,3.15,scattered clouds
105,Punta Arenas,CL,-53.15,-70.9167,48.31,43,40,25.32,scattered clouds
106,Winneba,GH,5.3511,-0.6231,75.25,92,38,8.79,scattered clouds
107,Mount Isa,AU,-20.7333,139.5,69.57,52,100,0.0,overcast clouds
108,Teacapan,MX,22.55,-105.75,85.35,71,100,8.79,overcast clouds
109,Jennings,US,38.7192,-90.2604,77.14,37,0,1.99,clear sky
110,Georgetown,MY,5.4112,100.3354,76.95,88,20,3.44,few clouds
111,Krasnoselkup,RU,65.7,82.4667,28.83,77,100,10.8,overcast clouds
112,Lorengau,PG,-2.0226,147.2712,82.22,78,21,10.18,few clouds
