City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
245,Avarua,CK,77.05,overcast clouds,-21.2078,-159.775,Paradise Inn
249,Faanui,PF,78.33,scattered clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
251,Dingle,PH,76.26,heavy intensity rain,10.9995,122.6711,SEGAYA PROPERTY
255,Harper,LR,76.23,light rain,4.375,-7.7169,Screensaver
256,Kismayo,SO,75.88,overcast clouds,-0.3582,42.5454,Agan-Hotel
257,Giyani,ZA,76.26,clear sky,-23.3025,30.7187,Kulani Country Lodge
262,Miraflores,MX,77.04,overcast clouds,19.2167,-98.8083,Hotel Mansión
270,Independence,US,79.29,clear sky,39.0911,-94.4155,Higher Ground Hotel
276,Hobyo,SO,76.01,broken clouds,5.3505,48.5268,Halane Hotel and Restaurent
277,Nagarote,NI,85.68,overcast clouds,12.2659,-86.5647,Hospedaje Nagarote
279,Alice Town,BS,79.88,clear sky,25.7167,-79.3,Bimini Big Game Club Resort & Marina
284,Ahuimanu,US,86.76,few clouds,21.4447,-157.8378,Paradise Bay Resort
287,San Ramon De La Nueva Oran,AR,82.42,few clouds,-23.1322,-64.326,Hotel Residencial Centro
293,Karwar,IN,75.96,overcast clouds,14.8,74.1333,Netalco Connects
294,Tezu,IN,76.15,broken clouds,27.9167,96.1667,Circuit House
297,Wajir,KE,76.53,few clouds,1.7471,40.0573,Mahatallah Hotel
298,Sao Filipe,CV,78.73,few clouds,14.8961,-24.4956,Hotel Xaguate
302,Williams Lake,CA,78.06,few clouds,52.1415,-122.1445,Stampeder Motel
303,Alta Floresta,BR,86.9,broken clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
305,Redmond,US,81.73,clear sky,47.674,-122.1215,Seattle Marriott Redmond
307,Nieuw Amsterdam,SR,87.82,few clouds,5.8833,-55.0833,Hotel Stardust
308,Yining,CN,75.7,clear sky,29.0361,114.5636,Xiushui Hotel
311,Biltine,TD,88.39,scattered clouds,14.5333,20.9167,Hôtel Trois Étoiles de Biltine
321,Eureka,US,79.18,overcast clouds,40.8021,-124.1637,Eureka Inn Trademark By Wyndham
325,Nizwa,OM,78.12,clear sky,22.9333,57.5333,Orient Apartments
330,Penalva,BR,79.9,broken clouds,-3.2942,-45.1736,Hotel Lago Verde
334,Veraval,IN,79.45,clear sky,20.9,70.3667,Lords Inn Somnath
335,Hambantota,LK,77.34,scattered clouds,6.1241,81.1185,Bungalow 63
337,Manokwari,ID,79.36,broken clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
339,Miramar,US,83.01,broken clouds,25.9873,-80.2323,Stadium Hotel
342,Praia,CV,78.48,scattered clouds,14.9215,-23.5087,LT Aparthotel
351,Lufilufi,WS,79.79,scattered clouds,-13.8745,-171.5986,Leuaina Beach Resort and Spa
352,Rajapur,IN,79.39,broken clouds,25.3833,81.15,Sahu Ji Galla Mills
357,Pochutla,MX,83.82,broken clouds,15.7432,-96.4661,Hotel Posada San Jose
360,Samana,DO,78.46,overcast clouds,19.2056,-69.3369,The Bannister - Hotel & Yacht Club
361,Gat,IL,80.4,clear sky,31.61,34.7642,OlusHome
378,Vanimo,PG,78.24,scattered clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
396,Fortuna,US,78.91,overcast clouds,40.5982,-124.1573,Super 8 by Wyndham Fortuna
397,Mutata,CO,77.18,overcast clouds,7.2441,-76.4356,RESIDENCIA ZULIMA
398,Anito,PH,79.32,overcast clouds,12.4497,125.2886,El Felix Cottages
399,Ambon,ID,77.14,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
400,Saint George,US,89.44,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
403,Atsipopoulon,GR,80.08,clear sky,35.35,24.4333,Thalassa Boutique Hotel
404,Khanpur,PK,82.08,clear sky,28.6453,70.6567,Ahmad Bartan store
406,Kant,IN,76.24,clear sky,27.8,79.8,Sumit Verma
412,Pedasi,PA,78.06,overcast clouds,7.5333,-80.0333,Hotel Casa de Campo Pedasí
414,Grand-Santi,GF,85.33,broken clouds,4.25,-54.3833,Hotel La Villa Couacou
423,Ciudad Bolivar,VE,84.25,overcast clouds,8.1222,-63.5497,Hotel Edi
426,Boa Vista,BR,79.79,broken clouds,2.8197,-60.6733,Aipana Plaza Hotel
430,Dhidhdhoo,MV,80.37,overcast clouds,6.8833,73.1,Dhidhoo beach
432,Buala,SB,83.64,light rain,-8.145,159.5921,Maringe Lagoon Lodge
